checkpoint,window_mode,architecture,use_questions,n_hyperedges,p0_protocol_auc,p0_protocol_n,clean_protocol_auc,clean_protocol_n,auc_attributable_to_repeats
v4q,last,v4,True,466305,0.8732530035585513,1078580,0.8220419657499041,899060,0.05121103780864722
v4,last,v4,False,466305,0.8597861773621183,1078580,0.8034597534838055,899060,0.05632642387831277
v4q_clean,last,v4,True,466305,0.8236305053419192,1078580,0.8244603650080228,899060,-0.0008298596661036051
