arm,backend,n_seeds,auc_mean,auc_sd,val_auc_mean,val_auc_sd,minutes_total,seeds_done,complete
akt,pykt,5,0.8222507266439194,0.00011940394900883661,,0.0,72.9,"0,17,42,1234,2024",True
gikt,pykt,5,0.8258460290976961,0.00010013116773332676,,0.0,805.9000000000001,"0,17,42,1234,2024",True
hg_qkc_off,dh2,5,0.8205969104794745,0.0001901053858551928,0.8201078922609053,0.00020514242819820263,18.6,"0,17,42,1234,2024",True
hg_qkc_on,dh2,5,0.826970835229943,0.00019251375937265542,0.8258875766471416,0.00022513501844839283,25.799999999999997,"0,17,42,1234,2024",True
p0_dt_on,dh2,5,0.8296195547635706,0.00010022626953416198,0.8286228547019556,0.00015145659549049744,25.1,"0,17,42,1234,2024",True
simplekt,pykt,5,0.8214140019839684,0.0006580395573686518,,0.0,39.7,"0,17,42,1234,2024",True
