dataset,fold,reference_model,p0_auc,dh2_kt_auc,delta_auc,budget_reference,batch_size,epochs,comparison_type,budget_note,n_predictions,val_auc
xes3g5m,0,gkt,0.833644346950711,0.8265628678640822,-0.007081479086628817,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=4, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",1640242,0.8258739898425832
xes3g5m,0,simplekt,0.8747199831753898,0.8265628678640822,-0.04815711531130762,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=4, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",1640242,0.8258739898425832
xes3g5m,mean,gkt,0.833644346950711,0.8265628678640822,-0.007081479086628817,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=4, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",1640242,0.8258739898425832
xes3g5m,mean,simplekt,0.8747199831753898,0.8265628678640822,-0.04815711531130762,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=4, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",1640242,0.8258739898425832
