dataset,fold,reference_model,p0_auc,dh2_kt_auc,delta_auc,budget_reference,batch_size,epochs,comparison_type,budget_note,n_predictions,val_auc
assist2012,0,gkt,0.9610027683417368,0.7619699391230046,-0.19903282921873222,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=32, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",804592,0.7649537443006855
assist2012,0,simplekt,0.9679020858551356,0.7619699391230046,-0.205932146732131,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=32, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",804592,0.7649537443006855
assist2012,mean,gkt,0.9610027683417368,0.7619699391230046,-0.19903282921873222,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=32, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",804592,0.7649537443006855
assist2012,mean,simplekt,0.9679020858551356,0.7619699391230046,-0.205932146732131,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=32, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",804592,0.7649537443006855
