slice_dim,slice,n,positive_rate,auc_on,auc_off,delta,delta_ci_lo,delta_ci_hi,significant
overall,all,1640242,0.7924434321276982,0.8297544467778702,0.8271838074052966,0.0025706393725736243,0.0027206179139744047,0.0048457055538245605,True
target_concept_train_freq,unseen,2,0.5,1.0,1.0,0.0,0.0,0.0,False
target_concept_train_freq,1-99,2220,0.7463963963963964,0.8366218561439653,0.833751209948429,0.0028706461955363416,-0.004115825914700361,0.010029000911430726,False
target_concept_train_freq,100-499,14626,0.7819636264187064,0.8655790938691965,0.8603016928354943,0.005277401033702223,0.002705333262987325,0.007599461018441258,True
target_concept_train_freq,500-1999,61168,0.800974365681402,0.8325216096338702,0.8296430297178375,0.0028785799160326864,0.001370637849337275,0.004358415992674635,True
target_concept_train_freq,2000-9999,379287,0.7743977515707103,0.8237836182950141,0.8211227319907963,0.002660886304217791,0.0014850702849540376,0.0034163401402969697,True
target_concept_train_freq,10000+,1182939,0.7980047999093782,0.8306002840965885,0.8281267238211767,0.0024735602754117902,0.001576186279876532,0.0035992260919152086,True
position_in_learner_log,1-5,19924,0.7365488857659105,0.7821315522742549,0.7819606038369278,0.00017094843732712306,-0.0019047985513405198,0.0025722379082279805,False
position_in_learner_log,6-20,73617,0.7328334487957945,0.7886444874252524,0.7878686311399794,0.0007758562852729911,-0.0005196167577825178,0.0018062905480391547,False
position_in_learner_log,21-50,145558,0.7500790063067643,0.8042664357850676,0.8017992102796077,0.002467225505459969,0.0018443532194851175,0.004113424395504308,True
position_in_learner_log,51-100,239491,0.7769268991319089,0.8187405838405634,0.8160513654724486,0.002689218368114754,0.0015349287428575026,0.0037402809801916626,True
position_in_learner_log,101+,1161652,0.8056870732370796,0.8371389515618394,0.834360731155665,0.00277822040617437,0.0018979438619500244,0.004057552181993731,True
target_item_kc_count,single_kc_item,1433557,0.7912486214360503,0.8288257057069018,0.8262535168932661,0.002572188813635745,0.0016253309402299103,0.003717494844752,True
target_item_kc_count,multi_kc_item,206685,0.8007305803517429,0.8358734317197742,0.83329146492924,0.0025819667905342403,0.0016064057646983764,0.0035839412544100267,True
target_is_repeat_row,repeat_of_same_attempt,0,,,,,,,False
target_is_repeat_row,fresh_attempt,1640242,0.7924434321276982,0.8297544467778702,0.8271838074052966,0.0025706393725736243,0.0027206179139744047,0.0048457055538245605,True
target_time_gap_quartile,"(-0.001, 6.982]",1230266,0.8013226407947549,0.8408570150031839,0.8380362632361412,0.002820751767042662,0.0015961079887656326,0.003539492976594016,True
target_time_gap_quartile,"(6.982, 17.946]",409976,0.7657984857650204,0.7929795400872988,0.7910870667569034,0.0018924733303953278,0.0009638995850287102,0.0032412656842995017,True
