dataset,fold,reference_model,p0_auc,dh2_kt_auc,delta_auc,budget_reference,batch_size,epochs,comparison_type,budget_note,n_predictions,val_auc
assist2012,0,gkt,0.9610027683417368,0.7626458829929085,-0.19835688534882834,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=32, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",804592,0.7650728125934134
assist2012,0,simplekt,0.9679020858551356,0.7626458829929085,-0.20525620286222712,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=32, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",804592,0.7650728125934134
assist2012,mean,gkt,0.9610027683417368,0.7626458829929085,-0.19835688534882834,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=32, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",804592,0.7650728125934134
assist2012,mean,simplekt,0.9679020858551356,0.7626458829929085,-0.20525620286222712,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=32, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",804592,0.7650728125934134
