model,fold,protocol,n_scored,auc,brier,nll,ece,ece_bins,checkpoint
p0_dt_on,0,clean_test_chunked,1093755,0.8295929566323603,0.1207030738454041,0.3828029949001302,0.0055866763548824,15,results/checkpoints/xes3g5m_fold0_p0_dt_on_s42.pt
hg_qkc_on,0,clean_test_chunked,1093755,0.8269842183645132,0.121552818164373,0.3856553911249681,0.0103070204015895,15,results/checkpoints/xes3g5m_fold0_hg_qkc_on_s42.pt
hg_qkc_off,0,clean_test_chunked,1093755,0.8202485459863772,0.1234696123554573,0.3911468656307568,0.0080720320706086,15,results/checkpoints/xes3g5m_fold0_hg_qkc_off_s42.pt
Zero+Δt,0,clean_test_chunked,1093755,0.8294412808315413,0.1208027813882058,0.3831245451025858,0.0071862814240759,15,results\checkpoints\xes3g5m_fold0_qkc_cm_zero_time_s42.pt
