fold,checkpoint,operator,auc_clean_shared,auc_clean_operator_local,clean_auc_abs_diff,auc_destroyed,auc_drop_from_shared,ddr,clean_hash,n_hyperedges
0,results\checkpoints\xes3g5m_fold0.pt,node_drop,0.7485453608376579,0.7485453628082233,1.9705653775403675e-09,0.7162203199232979,0.03232504091435995,0.9904476760764186,710d61a34d3be471,446305
0,results\checkpoints\xes3g5m_fold0.pt,degree_preserving_rewire,0.7485453608376579,0.7485453612708852,4.332273428886424e-10,0.7167516002694763,0.03179376056818162,0.05724265754205874,710d61a34d3be471,446305
0,results\checkpoints\xes3g5m_fold0.pt,relation_label_permute,0.7485453608376579,0.7485453613203968,4.827389599171283e-10,0.7485453605653435,2.7231439325703377e-10,0.0,710d61a34d3be471,446305
1,results\checkpoints\xes3g5m_fold1.pt,node_drop,0.7510897309495934,0.7510897297842264,1.1653670251021708e-09,0.6904512735457673,0.06063845740382612,0.9896291258834673,aa829afcfcc4f0ad,425519
1,results\checkpoints\xes3g5m_fold1.pt,degree_preserving_rewire,0.7510897309495934,0.75108973006689,8.827034658764887e-10,0.7169887911601333,0.03410093978946016,0.058120613023097664,aa829afcfcc4f0ad,425519
1,results\checkpoints\xes3g5m_fold1.pt,relation_label_permute,0.7510897309495934,0.7510897304388156,5.107778644486416e-10,0.7510897298734887,1.0761047608554009e-09,0.0,aa829afcfcc4f0ad,425519
2,results\checkpoints\xes3g5m_fold2.pt,node_drop,0.7521190813388761,0.7521190793203111,2.0185649818316165e-09,0.6946789702216235,0.05744011111725256,0.9901717579795403,be1c143b219ba8a4,439891
2,results\checkpoints\xes3g5m_fold2.pt,degree_preserving_rewire,0.7521190813388761,0.7521190810501539,2.8872215729336403e-10,0.7169759488680989,0.03514313247077716,0.05703215441680251,be1c143b219ba8a4,439891
2,results\checkpoints\xes3g5m_fold2.pt,relation_label_permute,0.7521190813388761,0.7521190810277532,3.111229052166209e-10,0.7521190805598243,7.790517120298546e-10,0.0,be1c143b219ba8a4,439891
