dataset,fold,reference_model,p0_auc,dh2_kt_auc,delta_auc,budget_reference,batch_size,epochs,comparison_type,budget_note,n_predictions
xes3g5m,0,gkt,0.833644346950711,0.6786895286274522,-0.15495481832325875,gkt,4,10,matched,,1078580
xes3g5m,0,simplekt,0.8747199831753898,0.6786895286274522,-0.19603045454793755,gkt,4,10,matched,,1078580
xes3g5m,mean,gkt,0.833644346950711,0.6786895286274522,-0.15495481832325875,gkt,4,10,matched,,1078580
xes3g5m,mean,simplekt,0.8747199831753898,0.6786895286274522,-0.19603045454793755,gkt,4,10,matched,,1078580
