dataset,fold,reference_model,p0_auc,dh2_kt_auc,delta_auc,budget_reference,batch_size,epochs,comparison_type,budget_note,n_predictions
xes3g5m,0,gkt,0.833644346950711,0.862689,0.02904465304928905,gkt,4,10,matched,,1910331
xes3g5m,0,simplekt,0.8747199831753898,0.862689,-0.012030983175389753,gkt,4,10,matched,,1910331
xes3g5m,mean,gkt,0.833644346950711,0.862689,0.02904465304928905,gkt,4,10,matched,,1910331
xes3g5m,mean,simplekt,0.8747199831753898,0.862689,-0.012030983175389753,gkt,4,10,matched,,1910331
