seed,forget_val,forget_test,linear_twin_val,delta_val,gate,status
42,0.8261948758036755,0.8269280190527177,0.8287787979045964,-0.0025839221009209545,FAIL,ok
17,0.8258739898425832,0.8265628678640822,0.8285767697867815,-0.002702779944198319,FAIL,ok
1234,0.8261797288262307,0.8275275253829188,0.8284052573467786,-0.0022255285205479147,FAIL,ok
0,0.8259644748838219,0.8269636871691584,0.8285987439912672,-0.002634269107445353,FAIL,ok
2024,0.8263013942334068,0.8272057774072472,0.8287547044803547,-0.0024533102469479484,FAIL,ok
