dataset,fold,reference_model,p0_auc,dh2_kt_auc,delta_auc,budget_reference,batch_size,epochs,comparison_type,budget_note,n_predictions,val_auc
xes3g5m,0,gkt,0.833644346950711,0.8191415869253974,-0.014502760025313588,gkt,64,20,observational,"tuned budget (batch=64, epochs=20); P0 gkt used batch=4, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",1638652,0.8183405344244141
xes3g5m,0,simplekt,0.8747199831753898,0.8191415869253974,-0.05557839624999239,gkt,64,20,observational,"tuned budget (batch=64, epochs=20); P0 gkt used batch=4, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",1638652,0.8183405344244141
xes3g5m,mean,gkt,0.833644346950711,0.8191415869253974,-0.014502760025313588,gkt,64,20,observational,"tuned budget (batch=64, epochs=20); P0 gkt used batch=4, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",1638652,0.8183405344244141
xes3g5m,mean,simplekt,0.8747199831753898,0.8191415869253974,-0.05557839624999239,gkt,64,20,observational,"tuned budget (batch=64, epochs=20); P0 gkt used batch=4, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",1638652,0.8183405344244141
