dataset,fold,reference_model,p0_auc,dh2_kt_auc,delta_auc,budget_reference,batch_size,epochs,comparison_type,budget_note,n_predictions,val_auc
assist2012,0,gkt,0.9610027683417368,0.7617503358115698,-0.199252432530167,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=32, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",804592,0.7650093573101044
assist2012,0,simplekt,0.9679020858551356,0.7617503358115698,-0.20615175004356578,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=32, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",804592,0.7650093573101044
assist2012,mean,gkt,0.9610027683417368,0.7617503358115698,-0.199252432530167,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=32, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",804592,0.7650093573101044
assist2012,mean,simplekt,0.9679020858551356,0.7617503358115698,-0.20615175004356578,gkt,16,30,observational,"tuned budget (batch=16, epochs=30); P0 gkt used batch=32, epochs=10; clean protocol (repeat-row targets masked): AUC is NOT comparable to the P0 baselines",804592,0.7650093573101044
