arm,time_gap_mode,seed,fold,val_auc,test_auc,twin_val_auc,delta_val,gate_pass,minutes,status
dt_both,both,0,0,0.8285987439912672,0.8295539701332428,0.8255360894996742,0.003062654491593,True,0.0,imported_a2
dt_lstm,lstm,0,0,0.8278636561631856,0.8285504936426885,0.8255360894996742,0.0023275666635114,True,8.0,ok
dt_query,query,0,0,0.826845448725763,0.8280793536243085,0.8255360894996742,0.0013093592260888,False,10.0,ok
dt_both,both,17,0,0.8285767697867815,0.8295092369517731,0.8257946067460306,0.0027821630407509,True,0.0,imported_a2
dt_lstm,lstm,17,0,0.827784713942081,0.8286887324601433,0.8257946067460306,0.0019901071960504,False,10.4,ok
dt_query,query,17,0,0.8269415505457053,0.827834020531366,0.8257946067460306,0.0011469437996747,False,10.4,ok
dt_both,both,42,0,0.8287787979045964,0.8297544472682574,0.8259819928755084,0.0027968050290879,True,0.0,imported_a2
dt_lstm,lstm,42,0,0.8276796027528424,0.8289222982466744,0.8259819928755084,0.0016976098773339,False,4.7,ok
dt_query,query,42,0,0.8266742674073165,0.8276972432146598,0.8259819928755084,0.000692274531808,False,4.6,ok
dt_both,both,1234,0,0.8284052573467786,0.829688396890765,0.8260488533915578,0.0023564039552208,True,0.0,imported_a2
dt_lstm,lstm,1234,0,0.8276939041530365,0.8290187259598784,0.8260488533915578,0.0016450507614786,False,8.4,ok
dt_query,query,1234,0,0.8268778249326559,0.8278461563219515,0.8260488533915578,0.0008289715410981,False,11.5,ok
dt_both,both,2024,0,0.8287547044803547,0.829591722573815,0.8260763407229377,0.002678363757417,True,0.0,imported_a2
dt_lstm,lstm,2024,0,0.8280843627550015,0.8287001152995992,0.8260763407229377,0.0020080220320638,True,9.6,ok
dt_query,query,2024,0,0.8270383826929526,0.8281299326720509,0.8260763407229377,0.0009620419700149263,False,10.0,ok
