dataset,fold,reference_model,p0_auc,dh2_kt_auc,delta_auc,budget_reference,batch_size,epochs,comparison_type,budget_note,n_predictions
xes3g5m,0,gkt,0.833644346950711,0.7500679772812409,-0.08357636966947013,gkt,4,10,matched,,1078580
xes3g5m,0,simplekt,0.8747199831753898,0.7500679772812409,-0.12465200589414893,gkt,4,10,matched,,1078580
xes3g5m,1,gkt,0.833644346950711,0.751768143467664,-0.08187620348304703,gkt,4,10,matched,,1078580
xes3g5m,1,simplekt,0.8747199831753898,0.751768143467664,-0.12295183970772583,gkt,4,10,matched,,1078580
xes3g5m,2,gkt,0.833644346950711,0.7530850710762231,-0.08055927587448786,gkt,4,10,matched,,1078580
xes3g5m,2,simplekt,0.8747199831753898,0.7530850710762231,-0.12163491209916666,gkt,4,10,matched,,1078580
xes3g5m,mean,gkt,0.833644346950711,0.7516403972750426,-0.08200394967566838,gkt,4,10,matched,,3235740
xes3g5m,mean,simplekt,0.8747199831753898,0.7516403972750426,-0.12307958590034718,gkt,4,10,matched,,3235740
