dataset,fold,reference_model,p0_auc,dh2_kt_auc,delta_auc,budget_reference,batch_size,epochs,comparison_type,budget_note,n_predictions
xes3g5m,0,gkt,0.833644346950711,0.5744388134475598,-0.25920553350315123,gkt,64,3,observational,"tuned budget (batch=64, epochs=3); P0 gkt used batch=4, epochs=10",119145
xes3g5m,0,simplekt,0.8747199831753898,0.5744388134475598,-0.30028116972783003,gkt,64,3,observational,"tuned budget (batch=64, epochs=3); P0 gkt used batch=4, epochs=10",119145
xes3g5m,mean,gkt,0.833644346950711,0.5744388134475598,-0.25920553350315123,gkt,64,3,observational,"tuned budget (batch=64, epochs=3); P0 gkt used batch=4, epochs=10",119145
xes3g5m,mean,simplekt,0.8747199831753898,0.5744388134475598,-0.30028116972783003,gkt,64,3,observational,"tuned budget (batch=64, epochs=3); P0 gkt used batch=4, epochs=10",119145
