checkpoint,architecture,use_questions,n_hyperedges,p0_protocol_auc,p0_protocol_n,clean_protocol_auc,clean_protocol_n,auc_attributable_to_repeats
v4,v4,False,466305,0.8486958285451762,1910331,0.7976856258579383,1635528,0.05101020268723788
v4q,v4,True,466305,0.8626117670439268,1910331,0.816010843377568,1635528,0.04660092366635882
v4_nograph,v4,False,0,0.8489417700408045,1910331,0.7978370496156753,1635528,0.05110472042512926
